0115 | 2025-06-12 12:30:26 -03:00 | D:\VideosCurtos\IMG_E3495_1.MOV
0116 | 2025-06-12 12:30:26 -03:00 | D:\VideosCurtos\IMG_3495_1.MOV
0117 | 2025-06-12 12:30:30 -03:00 | D:\VideosCurtos\IMG_3496_1.MOV
0118 | 2025-06-12 12:30:30 -03:00 | D:\VideosCurtos\IMG_E3496_1.MOV
0119 | 2025-06-12 12:30:32 -03:00 | D:\VideosCurtos\IMG_E3497_1.MOV
0120 | 2025-06-12 12:30:32 -03:00 | D:\VideosCurtos\IMG_3497_1.MOV
0121 | 2025-06-13 09:43:59 -03:00 | D:\VideosCurtos\IMG_3503_1.MOV
0122 | 2025-06-13 09:43:59 -03:00 | D:\VideosCurtos\IMG_E3503_1.MOV
0123 | 2025-06-13 12:40:06 -03:00 | D:\VideosCurtos\IMG_3508_1.MOV | HDR->SDR
0124 | 2025-06-13 12:40:10 -03:00 | D:\VideosCurtos\IMG_E3509_1.MOV
0125 | 2025-06-13 12:40:10 -03:00 | D:\VideosCurtos\IMG_3509_1.MOV
0126 | 2025-06-13 12:40:13 -03:00 | D:\VideosCurtos\IMG_E3510_1.MOV
0127 | 2025-06-13 12:40:13 -03:00 | D:\VideosCurtos\IMG_3510_1.MOV
0128 | 2025-06-15 16:43:31 -03:00 | D:\VideosCurtos\IMG_3522_1.MOV
0129 | 2025-06-15 16:43:31 -03:00 | D:\VideosCurtos\IMG_E3522_1.MOV
0130 | 2025-06-15 16:43:33 -03:00 | D:\VideosCurtos\IMG_E3523_1.MOV
0131 | 2025-06-15 16:43:33 -03:00 | D:\VideosCurtos\IMG_3523_1.MOV
0132 | 2025-06-15 16:43:36 -03:00 | D:\VideosCurtos\IMG_3524_1.MOV
0133 | 2025-06-15 16:43:36 -03:00 | D:\VideosCurtos\IMG_E3524_1.MOV
0134 | 2025-06-15 16:43:43 -03:00 | D:\VideosCurtos\IMG_E3525_1.MOV
0135 | 2025-06-15 16:43:43 -03:00 | D:\VideosCurtos\IMG_3525_1.MOV
0136 | 2025-06-15 20:22:25 -03:00 | D:\VideosCurtos\IMG_3537_1.MOV
0137 | 2025-06-15 20:22:25 -03:00 | D:\VideosCurtos\IMG_E3537_1.MOV
0138 | 2025-06-15 20:22:26 -03:00 | D:\VideosCurtos\IMG_E3538_1.MOV
0139 | 2025-06-17 19:30:58 -03:00 | D:\VideosCurtos\IMG_3548_1.MOV
0140 | 2025-06-17 19:30:58 -03:00 | D:\VideosCurtos\IMG_E3548_1.MOV
0141 | 2025-06-18 18:38:14 -03:00 | D:\VideosCurtos\IMG_E3554_1.MOV
0142 | 2025-06-20 15:46:53 -03:00 | D:\VideosCurtos\IMG_3578_1.MOV
0143 | 2025-06-21 10:32:24 -03:00 | D:\VideosCurtos\IMG_3591_1.MOV
0144 | 2025-06-21 11:23:19 -03:00 | D:\VideosCurtos\IMG_E3592_1.MOV
0145 | 2025-06-21 11:23:19 -03:00 | D:\VideosCurtos\IMG_3592_1.MOV
0146 | 2025-06-22 11:08:02 -03:00 | D:\VideosCurtos\IMG_E3594_1.MOV
0147 | 2025-06-22 11:08:02 -03:00 | D:\VideosCurtos\IMG_3594_1.MOV
0148 | 2025-06-22 11:08:04 -03:00 | D:\VideosCurtos\IMG_3595_1.MOV
0149 | 2025-06-22 11:08:04 -03:00 | D:\VideosCurtos\IMG_E3595_1.MOV
0150 | 2025-06-22 13:40:40 -03:00 | D:\VideosCurtos\IMG_3597_1.MOV
0151 | 2025-06-22 13:40:40 -03:00 | D:\VideosCurtos\IMG_E3597_1.MOV
